set lengths :=	l1	l2	l3	l4	l5	l6	l7	l8	l9	l10;
set col :=	j1	j2	j3	j4	j5	j6	j7	j8	j9	j10	j11	j12	j13	j14	j15	j16	j17	j18	j19	j20	j21	j22	j23	j24	j25	j26	j27	j28	j29	j30	j31	j32	j33	j34	j35	j36	j37	j38	j39	j40	j41	j42	j43	j44	j45	j46	j47	j48	j49	j50	j51	j52	j53	j54	j55	j56	j57	j58	j59	j60	j61	j62	j63	j64	j65	j66	j67	j68	j69	j70	j71	j72	j73	j74	j75	j76	j77	j78	j79	j80	j81	j82	j83	j84	j85	j86	j87	j88	j89	j90	j91	j92	j93	j94	j95	j96	j97	j98	j99	j100	j101	j102	j103	j104	j105	j106	j107	j108	j109	j110	j111	j112	j113	j114	j115	j116	j117	j118	j119	j120	j121	j122	j123	j124	j125	j126	j127	j128	j129	j130	j131	j132	j133	j134	j135	j136	j137	j138	j139	j140	j141	j142	j143	j144	j145	j146	j147	j148	j149	j150	j151	j152	j153	j154	j155	j156	j157	j158	j159	j160	j161	j162	j163	j164	j165	j166	j167	j168	j169	j170	j171	j172	j173	j174	j175	j176	j177	j178	j179	j180	j181	j182	j183	j184	j185	j186	j187	j188	j189	j190	j191	j192	j193	j194	j195	j196	j197	j198	j199	j200	j201	j202	j203	j204	j205	j206	j207	j208	j209	j210	j211	j212	j213	j214	j215	j216	j217	j218	j219	j220	j221	j222	j223	j224	j225	j226	j227	j228	j229	j230	j231	j232	j233	j234	j235	j236	j237	j238	j239	j240	j241	j242	j243	j244	j245	j246	j247	j248	j249	j250	j251	j252	j253	j254	j255	j256	j257	j258	j259	j260	j261	j262	j263	j264	j265	j266	j267	j268	j269	j270	j271	j272	j273	j274	j275	j276	j277	j278	j279	j280	j281	j282	j283	j284	j285	j286	j287	j288	j289	j290	j291	j292	j293	j294	j295	j296	j297	j298	j299	j300	j301	j302	j303	j304	j305	j306	j307	j308	j309	j310	j311	j312	j313	j314	j315	j316	j317	j318	j319	j320	j321	j322	j323	j324	j325	j326	j327	j328	j329	j330	j331	j332	j333	j334	j335	j336	j337	j338	j339	j340	j341	j342	j343	j344	j345	j346	j347	j348	j349	j350	j351	j352	j353	j354	j355;
# lengths:	6000	5500	5200	4800	4400	3500	2500	2400	1700	1150

param cutScheme :	l1	l2	l3	l4	l5	l6	l7	l8	l9	l10:=
	j1	2	0	0	0	0	0	0	0	0	0
	j2	1	1	0	0	0	0	0	0	0	0
	j3	1	0	1	0	0	0	0	0	0	0
	j4	1	0	0	1	0	0	0	0	0	1
	j5	1	0	0	0	1	0	0	0	0	1
	j6	1	0	0	0	0	1	1	0	0	0
	j7	1	0	0	0	0	0	2	0	0	0
	j8	1	0	0	0	0	0	1	1	0	0
	j9	1	0	0	0	0	0	1	0	2	0
	j10	1	0	0	0	0	0	1	0	1	1
	j11	1	0	0	0	0	0	1	0	1	0
	j12	1	0	0	0	0	0	0	2	0	1
	j13	1	0	0	0	0	0	0	1	2	0
	j14	1	0	0	0	0	0	0	1	1	1
	j15	1	0	0	0	0	0	0	1	1	0
	j16	1	0	0	0	0	0	0	0	3	0
	j17	1	0	0	0	0	0	0	0	2	2
	j18	1	0	0	0	0	0	0	0	2	1
	j19	1	0	0	0	0	0	0	0	1	3
	j20	1	0	0	0	0	0	0	0	1	2
	j21	1	0	0	0	0	0	0	0	0	5
	j22	1	0	0	0	0	0	0	0	0	4
	j23	1	0	0	0	0	0	0	0	0	3
	j24	1	0	0	0	0	0	0	0	0	2
	j25	1	0	0	0	0	0	0	0	0	1
	j26	1	0	0	0	0	0	0	0	0	0
	j27	0	2	0	0	0	0	0	0	0	0
	j28	0	1	1	0	0	0	0	0	0	1
	j29	0	1	0	1	0	0	0	0	1	0
	j30	0	1	0	0	1	0	0	0	1	0
	j31	0	1	0	0	0	1	1	0	0	0
	j32	0	1	0	0	0	0	2	0	0	1
	j33	0	1	0	0	0	0	1	1	0	1
	j34	0	1	0	0	0	0	1	0	2	0
	j35	0	1	0	0	0	0	1	0	1	2
	j36	0	1	0	0	0	0	1	0	1	1
	j37	0	1	0	0	0	0	0	2	1	0
	j38	0	1	0	0	0	0	0	1	2	0
	j39	0	1	0	0	0	0	0	1	1	2
	j40	0	1	0	0	0	0	0	1	1	1
	j41	0	1	0	0	0	0	0	0	3	1
	j42	0	1	0	0	0	0	0	0	2	2
	j43	0	1	0	0	0	0	0	0	2	1
	j44	0	1	0	0	0	0	0	0	1	4
	j45	0	1	0	0	0	0	0	0	1	3
	j46	0	1	0	0	0	0	0	0	0	5
	j47	0	1	0	0	0	0	0	0	0	4
	j48	0	1	0	0	0	0	0	0	0	3
	j49	0	1	0	0	0	0	0	0	0	2
